Assignee Id,L1 Centrality,L2-A Centrality,L2-B Centrality,L3 Centrality,L4 Centrality,Global Centrality A,Global Centrality B,Avg Fixed Time,Reopened Percent,Assignee Component,Total Bugs,First Closed Avg Time,Priority/Bug,Severity/Bug
48055,0.00792,0.01066,0.01772,0.08545,0.04621,0.000841670213758433,0.00169001391011082,238.313888888889,5.43478260869565,6,45,236.053333333333,2.95555555555556,3.4
48099,0.00407,0.00569,0.00532,0.03600,0.04569,0.00283676532067162,0.031513005662044,2970.37972222222,0,6,11,2970.37972222222,2.45454545454545,3.36363636363636
48134,0.00165,0.00372,0.00259,0.01017,0.03757,0.0283675987003744,0.0621072098060211,3032.47805555555,0.925925925925926,1,11,2818.72222222222,1.18181818181818,5.27272727272727
48542,0.00356,0.00569,0.00514,0.02978,0.04568,0.018931066808634,0.00754356002053705,1585.9225,3.34448160535117,4,21,1585.9225,2.52380952380952,3.38095238095238
49351,0.00066,0.00427,0.00268,0.00096,0.03799,0.0356250497312423,0.0101767364910528,1058.49388888889,1.8348623853211,1,18,1046.48055555556,2.94444444444444,3.05555555555555
49968,0.00343,0.00033,0.00127,0.00023,0.04568,0.00136866763021647,0.00609302539299523,4382.32166666667,1.13207547169811,5,64,4382.32166666667,2.3125,2.6875
51495,0.00038,0.00033,0.00127,0.00023,0.04471,0.000179137241012563,0.0116770576245088,6227.56222222222,5.69105691056911,3,27,6227.56222222222,2.25925925925926,2.96296296296296
52012,0.00024,0.00033,0.00126,0.00023,0.04471,0.000789960739249489,0.00410518571716249,4423.29944444445,5.21739130434783,2,13,4423.29944444445,1.76923076923077,2.53846153846154
55407,0.00038,0.00033,0.00127,0.00023,0.04471,0.00689110678986483,0.00640170165449333,4022.14388888889,2.63157894736842,3,21,4022.14388888889,1.47619047619048,2.95238095238095
56068,0.00517,0.00260,0.00424,0.00689,0.04648,0.000838419436653552,0.0269777181907179,2016.81416666667,0.501882057716437,10,70,2016.81416666667,3,2.75714285714286
59466,0.02211,0.08651,0.02263,0.00973,0.04491,0.000727618589484989,0.00102956770217318,546.275,1.16959064327485,3,15,513.135833333333,2.93333333333333,2.8
64680,0.01174,0.00904,0.00968,0.00582,0.04568,0.0000115423444731314,0.00401446078236108,1356.98,0.31201248049922,6,46,1289.16305555556,2.91304347826087,2.78260869565217
66773,0.00141,0.00235,0.00085,0.00269,0.04595,0.00193310227690313,0.0143134240921923,2738.57861111111,1.85185185185185,3,26,2738.57861111111,3,1.84615384615385
67503,0.00141,0.00983,0.00130,0.00691,0.04491,0.000997087632242944,0.020190896727871,686.612222222222,1.01010101010101,3,19,686.612222222222,2.78947368421053,2.8421052631579
67539,0.00037,0.00033,0.00127,0.00023,0.04471,0.00079859586629677,0.00133303044911845,3292.90138888889,0.961538461538462,4,21,3292.90138888889,1.85714285714286,2.80952380952381
75401,0.00029,0.00058,0.00015,0.00255,0.00815,0.0024060143681894,0.00229907062073121,661.900833333333,0,1,11,661.900833333333,3,3
